Chapter and subsection,Raw text hazard-related context,Context goal,Context role,Terms extracted from context,UFO types associated with terms,,,Explicit ontological type,Number of UFO types,Harmful Event,Hazardous Event
"IEC 61508-1:2010, 7.2.2.5","Hazards, hazardous situations and harmful events due to interaction with other equipment or systems of the EUC shall be considered together with other EUCs.",Concept phase - hazard identification,"Identify sources of hazards, hazardous situations, harmful events and hazard characteristics",hazards / hazardous situations / harmful events,hazards: Event/Moment/Object/Situation; hazardous situations: Situation; harmful events: Event,,,Explicit,4,harmful event,
"IEC 61508-1:2010, 7.3.1.2","specify the scope of the hazard and risk analysis, for example process hazards, environmental hazards, etc.",Overall scope definition,"Define EUC boundary, included equipment and scope of hazard and risk analysis",hazard and risk analysis scope,hazard and risk analysis scope: Object,,,Implicit,1,,
"IEC 61508-1:2010, 7.3.2.1","The boundary of the EUC and the EUC control system shall be defined so as to include all equipment and systems, including humans where appropriate, that are associated with relevant hazards and hazardous events.",Overall scope definition,"Define EUC boundary, included equipment and scope of hazard and risk analysis",hazards / hazardous events,hazards: Event/Moment/Object/Situation; hazardous events: Event,,,Explicit,4,,
"IEC 61508-1:2010, 7.3.2.2","The physical equipment, including the EUC and the EUC control system, to be included in the scope of the hazard and risk analysis shall be specified.",Overall scope definition,"Define EUC boundary, included equipment and scope of hazard and risk analysis",hazard and risk analysis scope,hazard and risk analysis scope: Object,,,Implicit,1,,
"IEC 61508-1:2010, 7.3.2.3",The external events to be taken into account in the hazard and risk analysis shall be specified.,Overall scope definition,"Define EUC boundary, included equipment and scope of hazard and risk analysis",external events,external events: Event,,,Explicit,1,,
"IEC 61508-1:2010, 7.3.2.4",The equipment and systems that are associated with the hazards and hazardous events shall be specified.,Overall scope definition,"Define EUC boundary, included equipment and scope of hazard and risk analysis",hazards / hazardous events,hazards: Event/Moment/Object/Situation; hazardous events: Event,,,Explicit,4,,
"IEC 61508-1:2010, 7.3.2.5","The type of initiating events that need to be considered, for example component failures, procedural faults, human error, dependent failure mechanisms that can cause hazardous events, shall be specified.",Overall scope definition,"Define EUC boundary, included equipment and scope of hazard and risk analysis",initiating events / component failures / procedural faults / human error / dependent failure mechanisms / hazardous events,initiating events: Event; component failures: Event; procedural faults: Event/Situation; human error: Event/Situation; dependent failure mechanisms: Event/Situation; hazardous events: Event,,,Explicit,4,,
"IEC 61508-1:2010, 7.4.1.1","determine the hazards, hazardous events and hazardous situations relating to the EUC and the EUC control system for all reasonably foreseeable circumstances, including fault conditions and reasonably foreseeable misuse",Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",hazards / hazardous events / hazardous situations / fault conditions / reasonably foreseeable misuse,hazards: Event/Moment/Object/Situation; hazardous events: Event; hazardous situations: Situation; fault conditions: Situation; reasonably foreseeable misuse: Event/Situation,,,Explicit,5,,
"IEC 61508-1:2010, 7.4.1.2",determine the event sequences leading to the hazardous events determined in 7.4.1.1,Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",event sequences / hazardous events,event sequences: Event; hazardous events: Event,,,Explicit,1,,
"IEC 61508-1:2010, 7.4.1.3",determine the EUC risks associated with the hazardous events determined in 7.4.1.1,Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",EUC risk / hazardous events,EUC risk: Moment; hazardous events: Event,,,Explicit,1,,
"IEC 61508-1:2010, 7.4.2.1",A hazard and risk analysis shall be undertaken which shall take into account information from the overall scope definition phase.,Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",hazard and risk analysis,hazard and risk analysis: Event,,,Implicit,1,,
"IEC 61508-1:2010, 7.4.2.1 note 2","A hazard and risk analysis may determine two event sequences, that include valve fails closed and valve fails open, leading to hazardous events. However, when the detailed design of the EUC control system controlling the valve is analyzed, a new failure mode, valve oscillates, may be discovered which introduces a new event sequence leading to a hazardous event.",Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",event sequences / hazardous events / failure mode,event sequences: Event; hazardous events: Event; failure mode: Situation,,,Explicit,1,,
"IEC 61508-1:2010, 7.4.2.2",Consideration shall be given to the elimination or reduction of the hazards.,Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",hazards,hazards: Event/Moment/Object/Situation,,,Implicit,4,,
"IEC 61508-1:2010, 7.4.2.2 note","identified hazards of the EUC are eliminated at source, for example by the application of inherent safety principles and the application of good engineering practice",Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",hazards at source,hazards at source: Moment/Object,,,Implicit,2,,
"IEC 61508-1:2010, 7.4.2.3","The hazards, hazardous events and hazardous situations of the EUC and the EUC control system shall be determined under all reasonably foreseeable circumstances, including fault conditions, reasonably foreseeable misuse and malevolent or unauthorised action.",Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",hazards / hazardous events / hazardous situations / fault conditions / reasonably foreseeable misuse,hazards: Event/Moment/Object/Situation; hazardous events: Event; hazardous situations: Situation; fault conditions: Situation; reasonably foreseeable misuse: Event/Situation,,,Explicit,5,,
"IEC 61508-1:2010, 7.4.2.3 note 5",The hazard and risk analysis should also consider whether the activation of a safety function due to a demand or spurious action will give rise to a new hazard.,Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",safety function / new hazard,safety function: Event/Moment; new hazard: Event/Moment/Object/Situation,,,Implicit,5,,
"IEC 61508-1:2010, 7.4.2.4",The event sequences leading to the hazardous events determined in 7.4.2.3 shall be determined.,Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",event sequences / hazardous events,event sequences: Event; hazardous events: Event,,,Explicit,1,,
"IEC 61508-1:2010, 7.4.2.5",The likelihood of the hazardous events for the conditions specified in 7.4.2.3 shall be evaluated.,Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",likelihood / hazardous events,likelihood: Moment; hazardous events: Event,,,Explicit,1,,
"IEC 61508-1:2010, 7.4.2.6",The consequences associated with the hazardous events determined in 7.4.2.3 shall be determined.,Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",consequences / hazardous events,consequences: Event/Situation; hazardous events: Event,,,Explicit,2,,
"IEC 61508-1:2010, 7.4.2.7","The EUC risk shall be evaluated, or estimated, for each determined hazardous event.",Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",EUC risk / hazardous events,EUC risk: Moment; hazardous events: Event,,,Explicit,1,,
"IEC 61508-1:2010, 7.4.2.8",The requirements of 7.4.2.1 to 7.4.2.7 can be met by the application of either qualitative or quantitative hazard and risk analysis techniques.,Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",hazard and risk analysis techniques,hazard and risk analysis techniques: Object,,,Implicit,1,,
"IEC 61508-1:2010, 7.4.2.9","the appropriateness of the techniques depends on the specific hazards and the consequences, the complexity of the EUC and the EUC control system, the application sector, legal and safety regulatory requirements, the EUC risk, and the availability of accurate data",Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",hazards / consequences / EUC risk,hazards: Event/Moment/Object/Situation; consequences: Event/Situation; EUC risk: Moment,,,Implicit,5,,
"IEC 61508-1:2010, 7.4.2.10","The hazard and risk analysis shall consider each determined hazardous event and the components that contribute to it, the consequences and likelihood of the event sequences with which each hazardous event is associated, the tolerable risk for each hazardous event, the measures taken to reduce or remove hazards and risks, and the assumptions made during the analysis of the risks, including the estimated demand rates and equipment failure rates.",Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",hazardous event / event sequence / tolerable risk / hazards / risk / demand rates / equipment failure rates,hazardous event: Event; event sequence: Event; tolerable risk: Moment; hazards: Event/Moment/Object/Situation; risk: Moment; demand rates: Moment; equipment failure rates: Moment,,,Explicit,4,,
"IEC 61508-1:2010, 7.4.2.11",The information and results that constitute the hazard and risk analysis shall be documented.,Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",hazard and risk analysis results,hazard and risk analysis results: Object,,,Implicit,1,,
"IEC 61508-1:2010, 7.4.2.12",The information and results that constitute the hazard and risk analysis shall be maintained for the EUC and the EUC control system throughout the overall safety lifecycle.,Hazard and risk analysis,"Determine hazards, event sequences, likelihood, consequences and EUC risk",hazard and risk analysis results,hazard and risk analysis results: Object,,,Implicit,1,,hazardous event
"IEC 61508-1:2010, 7.5.1 note","In application areas where valid assumptions can be made about the risks, likely hazards, harmful events and their consequences…",Overall safety requirements,Derive overall safety functions and safety integrity requirements from hazardous events and tolerable risk,risks / likely hazards / harmful events / consequences,risks: Moment; likely hazards: Event/Moment/Object/Situation; harmful events: Event; consequences: Event/Situation,,,Explicit,5,harmful event,
"IEC 61508-1:2010, 7.5.2.1",A set of all necessary overall safety functions shall be developed based on the hazardous events derived from the hazard and risk analysis.,Overall safety requirements,Derive overall safety functions and safety integrity requirements from hazardous events and tolerable risk,overall safety functions / hazardous events,overall safety functions: Event/Moment; hazardous events: Event,,,Explicit,2,,
"IEC 61508-1:2010, 7.5.2.1 note 1",It will be necessary to create an overall safety function for each hazardous event.,Overall safety requirements,Derive overall safety functions and safety integrity requirements from hazardous events and tolerable risk,overall safety function / hazardous event,overall safety function: Event/Moment; hazardous event: Event,,,Explicit,2,,
"IEC 61508-1:2010, 7.5.2.3","For each overall safety function, a target safety integrity requirement shall be determined that will result in the tolerable risk being met.",Overall safety requirements,Derive overall safety functions and safety integrity requirements from hazardous events and tolerable risk,target safety integrity requirement / tolerable risk,target safety integrity requirement: Moment; tolerable risk: Moment,,,Implicit,1,,
"IEC 61508-1:2010, 7.5.2.3 note 2","The EUC risk can be reduced either by reducing the consequences of the hazardous event, which is preferred, or by reducing the rate of hazardous events of the EUC and the EUC control system.",Overall safety requirements,Derive overall safety functions and safety integrity requirements from hazardous events and tolerable risk,EUC risk / hazardous event,EUC risk: Moment; hazardous event: Event,,,Explicit,1,,
"IEC 61508-1:2010, 7.5.2.4","The overall safety integrity requirements shall be specified in terms of either the risk reduction required to achieve the tolerable risk, or the tolerable hazardous event rate so as to meet the tolerable risk.",Overall safety requirements,Derive overall safety functions and safety integrity requirements from hazardous events and tolerable risk,risk reduction / tolerable hazardous event rate / tolerable risk,risk reduction: Moment; tolerable hazardous event rate: Moment; tolerable risk: Moment,,,Explicit,1,,
"IEC 61508-1:2010, 7.5.2.5","If, in assessing the EUC risk, the average frequency of dangerous failures of a single EUC control system function is claimed as being lower than 10^-5 dangerous failures per hour then the EUC control system shall be considered to be a safety-related control system subject to the requirements of this standard.",Overall safety requirements,Derive overall safety functions and safety integrity requirements from hazardous events and tolerable risk,dangerous failures,dangerous failures: Event,,,Implicit,1,,
