Chapter and subsection,Raw text hazard-related context,Context goal,Context role,Terms extracted from context,UFO types associated with terms,,,Explicit ontological type,Number of UFO types,Harmful Event,Hazardous Event
"IEC 61508-4:2010, 3.2.10",software tool that can directly influence the safety-related system during its run time,Terminological definition - equipment/entity concept,Define entities and artefacts used in safety-related systems,software on-line support tool,software on-line support tool: Object,,,Implicit,1,,
"IEC 61508-4:2010, 3.2.11",software tool that supports a phase of the software development lifecycle and that cannot directly influence the safety-related system during its run time,Terminological definition - equipment/entity concept,Define entities and artefacts used in safety-related systems,software off-line support tool,software off-line support tool: Object,,,Implicit,1,,
"IEC 61508-4:2010, 3.2.12","based on computer technology which may be comprised of hardware, software, and of input and/or output units",Terminological definition - equipment/entity concept,Define entities and artefacts used in safety-related systems,programmable electronic / PE,programmable electronic: Object; PE: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.2.13",based on electrical and/or electronic and/or programmable electronic technology,Terminological definition - equipment/entity concept,Define entities and artefacts used in safety-related systems,electrical/electronic/programmable electronic / E/E/PE,electrical: unclassified; electronic: Object; programmable electronic: Object; E: Event; E: Event; PE: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.3.1","system for control, protection or monitoring based on one or more programmable electronic devices, including all elements of the system such as power supplies, sensors and other input devices, data highways and other communication paths, and actuators and other output devices",Terminological definition - system structure,Define control system and architectural entities,programmable electronic system / PE system,programmable electronic system: Object; PE system: Object,,,Implicit,1,,
"IEC 61508-4:2010, 3.3.2","system for control, protection or monitoring based on one or more electrical/electronic/programmable electronic devices, including all elements of the system such as power supplies, sensors and other input devices, data highways and other communication paths, and actuators and other output devices",Terminological definition - system structure,Define control system and architectural entities,E/E/PE system,E: Event; E: Event; PE system: Object,,,Implicit,1,,
"IEC 61508-4:2010, 3.3.3",system that responds to input signals from the process and/or from an operator and generates output signals causing the EUC to operate in the desired manner,Terminological definition - system structure,Define control system and architectural entities,EUC control system,EUC control system: Object,,,Implicit,1,,
"IEC 61508-4:2010, 3.3.4",specific configuration of hardware and software elements in a system,Terminological definition - system structure,Define control system and architectural entities,architecture,architecture: Situation,,,Implicit,1,,
"IEC 61508-4:2010, 3.3.5",construct that consists of procedures and/or data declarations and that can also interact with other such constructs,Terminological definition - system structure,Define control system and architectural entities,software module,software module: Object,,,Implicit,1,,
"IEC 61508-4:2010, 3.3.6",element or group of elements that independently implement an element safety function,Terminological definition - system structure,Define control system and architectural entities,channel,channel: Object,,,Implicit,1,,
"IEC 61508-4:2010, 3.3.7",different means of performing a required function,Terminological definition - system structure,Define control system and architectural entities,diversity,diversity: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.4.1","designated system that both implements the required safety functions necessary to achieve or maintain a safe state for the EUC, and is intended to achieve, on its own or with other E/E/PE safety-related systems and other risk reduction measures, the necessary safety integrity for the required safety functions",Terminological definition - safety-related system concept,Define risk reduction systems and their relation to hazard/harm,safety-related system,safety-related system: Event/Object,,,Implicit,2,,
"IEC 61508-4:2010, 3.4.1 note 2",Safety-related systems are designed to prevent the EUC from going into a dangerous state by taking appropriate action on detection of a condition which may lead to a hazardous event.,Terminological definition - safety-related system concept,Define risk reduction systems and their relation to hazard/harm,safety-related system / dangerous state / hazardous event,safety-related system: Event/Object; dangerous state: Situation; hazardous event: Event,,,Explicit,2,,
"IEC 61508-4:2010, 3.4.1 note 4a",A safety-related system may be designed to prevent the hazardous event.,Terminological definition - safety-related system concept,Define risk reduction systems and their relation to hazard/harm,safety-related system / hazardous event,safety-related system: Event/Object; hazardous event: Event,,,Explicit,2,,hazardous event
"IEC 61508-4:2010, 3.4.1 note 4b","A safety-related system may be designed to mitigate the effects of the harmful event, thereby reducing the risk by reducing the consequences.",Terminological definition - safety-related system concept,Define risk reduction systems and their relation to hazard/harm,safety-related system / harmful event,safety-related system: Event/Object; harmful event: Event,,,Explicit,2,harmful event,
"IEC 61508-4:2010, 3.4.2","measure to reduce or mitigate risk that is separate and distinct from, and does not use, E/E/PE safety-related systems",Terminological definition - safety-related system concept,Define risk reduction systems and their relation to hazard/harm,other risk reduction measure,other risk reduction measure: Moment/Object,,,Implicit,2,,
"IEC 61508-4:2010, 3.4.3",E/E/PE safety-related system in which the failure modes of each individual component are well defined and the behaviour of the system under fault conditions can be completely determined,Terminological definition - safety-related system concept,Define risk reduction systems and their relation to hazard/harm,low complexity E/E/PE safety-related system,low complexity E: Object; E: Event; PE safety-related system: Event/Object,,,Implicit,2,,
"IEC 61508-4:2010, 3.4.4",entity of the top-level architectural design of a safety-related system where a dangerous failure according to 3.6...,Terminological definition - safety-related system concept,Define risk reduction systems and their relation to hazard/harm,subsystem,subsystem: Object,,,Implicit,1,,
